Name,hd,RA,DEC,Vmag,eVmag,PlxFlag,Teff,eTeff,Logg,eLogg,Vt,eVt,[Fe/H],e[Fe/H],Reference,Link,SWFlag,Update,Comment,Database,gaia_dr2,gaia_dr3,Plx,ePlx,Gmag,eGmag,RPmag,eRPmag,BPmag,eBPmag,FG,eFG,G_flux_std_n,Logg_gaia,eLogg_gaia,Mass_t,eMass_t,Radius_t,eRadius_t,spec_base,Distance,RA_EU,DEC_EU,RA_NASA,DEC_NASA,Distance_b,eDistance_b
11 Com,107383,12 20 43.02,+17 47 34.33,4.74,0.02,GAIAeDR3,4824.0,28.0,2.53,0.09,1.48,0.03,-0.26,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",3946945413106333696,3946945413106333696,10.1677,0.1365,4.4373,0.0029,3.7715,0.0046,4.9591,0.003,316300000.0,270900.0,0.0142562,2.396255611746718,0.0158830917888943,2.586983174571127,0.0220003678346113,17.168076035374188,0.5624503051374177,11Com_HARPSS_115000_378_691_2020,98.3506594411716,185.1791667,17.792777800000003,185.1787793,17.7932516,97.9758759,1.3001404000000036
11 UMi,136726,15 17 05.88,+71 49 26.04,5.01,0.01,GAIAeDR3,4314.0,93.0,1.82,0.31,1.67,0.09,-0.05,0.04,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",1696798367260229376,1696798367260229376,7.926,0.0874,4.5567,0.0029,3.7446,0.0062,5.2733,0.0031,283300000.0,262200.0,0.0132515,2.0152807045039647,0.0557398887466734,3.034747445422418,0.0325959194092446,25.076026661910657,0.8215258843544753,11UMi_NARVAL_2014,126.167045167802,229.275,71.82388890000001,229.2745954,71.8239428,126.057068,1.3480990000000048
14 And,221345,23 31 17.41,+39 14 10.30,5.22,,GAIAeDR3,4745.0,38.0,2.52,0.1,1.5,0.04,-0.28,0.03,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",1920113512486282240,1920113512486282240,13.1681,0.0727,4.9222,0.0028,4.2366,0.0045,5.4557,0.0029,202300000.0,110800.0,0.0113062999999999,2.666530786926588,0.0190349773810214,2.020961547844592,0.0144748255018188,11.101348164246616,0.3636957717074285,14And_SOPHIE_HR_2020,75.94110008277579,352.8208333,39.2361111,352.82415,39.2358367,75.8471832,0.4380110999999971
14 Her,145675,16 10 24.31,+43 49 03.52,6.67,,GAIAeDR3,5360.0,57.0,4.16,0.14,0.94,0.09,0.37,0.04,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",1385293808145621504,1385293808145621504,55.8657,0.0291,6.3952,0.0028,5.8111,0.0038,6.8131,0.0029,52100000.0,9048.0,0.0030675,4.445040579625312,0.0267588009085265,0.939957930643933,0.0141325926888806,1.0216696216954395,0.0334713330304576,14Her_SOPHIE_HR_2020,17.900071063282102,242.5958333,43.8216667,242.6021014,43.816362100000006,17.8923416,0.0102347999999992
16 Cyg B,186427,19 41 51.97,+50 31 03.08,6.2,,GAIAeDR3,5785.0,23.0,4.37,0.04,1.04,0.03,0.09,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",2135550755683407232,2135550755683407232,47.3302,0.0171,6.0734,0.0028,5.5746,0.0039,6.4007,0.0029,70080000.0,17930.0,0.0041092,4.358204493747518,0.0096069708081801,1.0223399401784177,0.0067772304252642,1.1509191640247949,0.0377057297311846,16CygB_HARPSN_2020,21.1281591880026,295.4625,50.5175,295.4656422,50.5168243,21.1187477,0.0084534000000005
18 Del,199665,20 58 25.93,+10 50 21.42,5.51,0.01,GAIAeDR3,5089.0,34.0,3.07,0.1,1.37,0.03,0.03,0.03,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",1756741374681702784,1756741374681702784,13.3021,0.0652,5.2693,0.0028,4.6413,0.0041,5.7357,0.0028,147000000.0,61180.0,0.0098169,2.957759500571873,0.0148487989177627,1.9470225357239563,0.0130257343860771,7.670333011243995,0.2512908921064065,18Del_HARPSS_115000_378_691_2020,75.1761000142835,314.6083333,10.839166699999998,314.6078375,10.8391378,74.94231409999998,0.364227299999996
1SWASP J1407,,14 07 48.00,-39 45 43.00,12.31,0.03,GAIAeDR3,4400.0,100.0,4.0,,,,,,Kenworthy et al. 2014,http://adsabs.harvard.edu/abs/2015MNRAS.446..411K,0,2018-07-30,,EU,6117085769513415168,6117085769513415168,7.2351,0.014,11.9276,0.0033,11.1222,0.0059,12.6067,0.0068,319100.0,543.5,0.0252625,4.2954135568311225,0.0648799778361645,0.6934988886559258,0.020047185091528,0.9242871440253316,0.030280946165457,,138.21509032356198,211.950000016,-39.761944469,,,137.941498,0.2806700000000148
24 Sex,90043,10 23 28.37,-00 54 08.09,6.44,0.01,GAIAeDR3,5014.0,26.0,3.22,0.07,1.11,0.03,-0.02,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",3830897080395058048,3830897080395058048,13.6402,0.0267,6.2151,0.0028,5.5845,0.004,6.6757,0.003,61500000.0,13490.0,0.0028258,3.2246363322941827,0.0117034166924741,1.5457294504614965,0.0077708307611659,4.973545347446388,0.1629403372004016,24Sex_HARPSS_115000_378_691_2020,73.312708024809,155.868205808,-0.902243675771,155.86848659999995,-0.9023998,73.14002990000002,0.1284561000000081
30 Ari B,16232,02 36 57.74,+24 38 53.03,7.09,,GAIAeDR3,6284.0,98.0,4.35,0.2,,,0.12,0.08,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,NASA,102082477749475200,102082477749475200,22.5107,0.0315,6.9793,0.0028,6.5537,0.0039,7.2245,0.0031,30420000.0,12350.0,0.0054474,4.310643062045139,0.0374312423895577,1.2388540264697838,0.0361985022234862,1.4120129949633105,0.046259530668359,30AriB_FEROS_2014,44.4233186884459,,,39.24127360000001,24.6480103,44.365078,0.061187799999999
38 Vir,111998,12 53 11.16,-03 33 11.16,6.11,,GAIAeDR3,6440.0,51.0,4.42,0.22,1.44,,0.16,0.05,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,"EU,NASA",3679242575447826432,3679242575447826432,29.9081,0.0377,6.0024,0.0028,5.6119,0.0039,6.2376,0.0029,74810000.0,21470.0,0.0047509,4.246674392499116,0.0171651191568538,1.346774707200712,0.0157745049233087,1.443727446955335,0.0472985406985702,38Vir_HARPS_2017,33.435758205971,193.296489462,-3.55309929126,193.2953521,-3.5531133,33.3947029,0.0535582999999988
4 Uma,73108,08 40 12.81,+64 19 40.57,4.61,,GAIAeDR3,4538.0,55.0,2.12,0.17,1.47,0.05,-0.18,0.03,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",1092230803510960640,1092230803512999424,13.2035,0.1164,4.2226,0.0029,3.4779,0.0051,4.8364,0.0028,385400000.0,271900.0,0.0130842999999999,2.3639555304375075,0.0298338076979543,2.4466617748039967,0.0197520988672898,15.012170563091376,0.4918198111767431,4Uma_NARVAL_2014,75.73749384632859,130.05416670000002,64.3280556,130.05280990000003,64.3280504,75.6334915,0.6238250999999906
42 Dra,170693,18 25 59.13,+65 33 48.52,4.82,0.01,GAIAeDR3,4493.0,46.0,2.12,0.14,1.53,0.05,-0.4,0.03,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,NASA,2256800156348230400,2256800156349110528,11.056,0.0841,4.4495,0.0029,3.6912,0.0046,5.0716,0.0029,312700000.0,282600.0,0.0160393,2.2759960832775867,0.0260943407624684,2.446805007139416,0.0208314540010222,17.82798343755988,0.5840697993053752,42Dra_ESPADONS_65000_2020,90.4486251808972,,,276.49750530000006,65.5633652,90.2509079,0.9246215999999948
