DW Lyn,,07 07 9.810,+60 38 50.13,,,GAIAeDR3,,,,,,,,,Lutz et al. 2013,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1301.2048,0,2018-07-30,,EU,1002864074658491648,1002864074658491648,0.6956,0.0362,14.9156,0.0029,15.111,0.005,14.8137,0.0035,20360.0,16.69,0.0166674,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,1437.60782058654,106.790862503,60.6472583571,,,1402.60889,72.60876000000006
Kepler-699,,19 47 33.17,+41 23 45.9,,,GAIAeDR3,5330.0,92.0,4.58,0.06,,,-0.26,0.21,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2076839480469187712,2076839480469187712,0.5091,0.0235,15.4636,0.0028,14.8775,0.004,15.8711,0.0034,12290.0,3.499,0.0056734,4.007483461519131,0.0552053585974223,0.9375647106461772,0.0464473489197552,1.5620511932095371,0.0511749929608127,,1964.25063838146,296.888201,41.396091,296.8881532,41.3960896,1900.48694,89.42309
Kepler-840,,19 46 01.77,+49 27 26.2,,,GAIAeDR3,5920.0,136.0,4.41,0.12,,,0.0,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2134886100904948608,2134886100904948608,0.7894,0.0528,14.1225,0.0028,13.6009,0.0041,14.4576,0.0035,42260.0,27.98,0.0125108,4.141366218530671,0.0786291737816698,1.148418608766354,0.0630710807273133,1.6006947405501784,0.0524410098952992,,1266.78489992399,296.507394,49.457291,296.5073737,49.4572313,1233.96106,99.1408700000002
Kepler-854,,19 33 24.31,+43 08 04.7,,,GAIAeDR3,6179.0,126.0,4.29,0.17,,,0.04,0.14,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2077841169916858240,2077841169916858240,0.6982,0.0109,13.4939,0.0028,12.9666,0.0068,13.7779,0.0062,75400.0,26.08,0.0067512,3.9527516548038766,0.0446711885093588,1.3924024712603609,0.0410730104706861,2.2875732863763005,0.0749441166439073,,1432.25436837582,293.351293,43.13464000000001,293.351268,43.1346404,1376.25525,20.45849999999996
Barnard's ,,17 57 48.49,+04 41 36.11,9.51,,GAIAeDR3,3278.0,51.0,,,,,,,Ribas et al. 2018,http://adsabs.harvard.edu/abs/2018Natur.563..365R,0,2018-12-10,M4V,EU,4472832130942576128,4472832130942576128,546.9759,0.0401,8.193999999999999,0.0028,6.9581,0.0038,9.7918,0.003,9939000.0,6396.0,0.0100725,5.526732205712093,0.0846740666987939,0.4514484023074745,0.0436082763862047,0.2433002676401706,0.0079708587900162,,1.82823411415384,269.454166683,4.693333355,,,1.8281064,0.00013148
GJ 1151,,11 50 55.32,+48 22 23.64,13.76,,GAIAeDR3,,,,,,,,,Mahadevan et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210202233M/abstract,0,2021-04-14,M dwarf,NASA,790236569003888000,790236569006916096,124.3378,0.0549,11.684706,0.002798,10.387384,0.003822,13.529426999999998,0.003054,399080.0,178.46,0.0135340775900181,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,8.042606512259345,,,177.7304866,48.3732334,8.0399313,0.0041246400000005
2MASS J06023447-0034369,,06 02 34.48,00 34 36.92,,,Simbad,,,,,,,,,Gaia Cosmos?,https://www.cosmos.esa.int/web/gaia/iow_20210330,0,2022-03-11,,EU,3026325426682637824,3026325426682637824,-1.0,-1.0,,,,,,,,,,,,,,,,,-1000.0,90.643653,-0.576923,,,,
Kepler-486,,18 59 31.19,+49 16 01.2,,,GAIAeDR3,4926.0,45.0,4.6,0.03,,,-0.04,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2131996790503735296,2131996790503735296,2.2745,0.0141,14.3667,0.0028,13.6887,0.0038,14.8971,0.003,33750.0,5.45,0.0030256,4.5788151812992295,0.0268640214810452,0.7433976487578807,0.0201361461485989,0.7549851610081393,0.0247343752036216,,439.65706748736,284.8799640000001,49.266994,284.8799791,49.2670195,435.211182,3.107939999999985
2MASS J1119-1137,,11 19 32.54,-11 37 46.69,,,Simbad,,,,,,,,,Limbach et al. 2021,https://arxiv.org/pdf/2108.08323.pdf,0,2022-09-19,L7,EU,-1,-1,-1.0,-1.0,,,,,,,,,,,,,,,,,-1000.0,169.885595844,-11.6296389116,,,,
HD 114762,114762,13 12 19.74,+17 31 01.65,7.3,,GAIAeDR3,5943.0,28.0,4.41,0.03,1.31,0.06,-0.66,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,NASA,3937211745904553600,3937211745905473024,26.1979,0.1082,7.1519,0.0028,6.6995,0.0038,7.4329,0.0028,25950000.0,5984.0,0.0045005,4.271296150299723,0.0113815271472212,0.9002309118125129,0.0054259605321178,1.2352795791211435,0.0404694955203561,HD114762_UVES_107200_472_683_2020,38.17099843880621,,,198.079631,17.517124,38.1434174,0.189311999999994
HD 4747,4747,00 49 26.77,-23 12 44.94,7.15,,GAIAeDR3,5366.0,32.0,4.48,0.05,0.84,0.06,-0.21,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,2348830516542120192,2348830516542653824,53.0526,0.0282,6.9578,0.0028,6.3986,0.0038,7.3476,0.0029,31030000.0,7135.0,0.0048337,4.558441343081598,0.014754799991933,0.8021318795047707,0.0056473115566155,0.8101259569251477,0.0265408651926651,HD4747_FEROS_48000_352_921_2020,18.8492175689787,12.3615223839,-23.2124822084,,,18.8379364,0.0095805999999996
HD 92987,92987,10 43 36.27,-39 03 30.54,7.02,0.01,GAIAeDR3,5869.0,14.0,4.14,0.03,1.2,0.02,0.07,0.01,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,5394489064197253376,5394489064197253376,22.9831,0.047,6.8759,0.0028,6.3918,0.0038,7.1883,0.0028,33460000.0,5021.0,0.0035347,4.1314461506126055,0.0058133961472657,1.154554620390682,0.0047860861629834,1.5690804546333694,0.0514052814465217,HD92987_UVES_66320_472_683_2020,43.510231430921,160.90000001200002,-39.058611119,,,43.5063171,0.0953673999999935
HD 131664,131664,15 00 06.07,-73 32 07.22,8.13,0.01,GAIAeDR3,5926.0,32.0,4.44,0.06,1.17,0.04,0.34,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,5793748639924547968,5793748639924547968,19.136,0.0829,7.9791,0.0028,7.4915,0.0038,8.2979,0.0028,12120000.0,2412.0,0.0042927,4.423173285025307,0.0136057495319318,1.1303161911949726,0.0098960731877189,1.1016872256959742,0.0360928222231742,HD131664_HARPSS_115000_378_691_2020,52.2575250836121,225.025,-73.5352778,,,52.2066689,0.2562065000000047
