# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, impact_parameter, impact_parameter_error_min, impact_parameter_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, K, K_error_min, K_error_max, temp_calculated, temp_measured, hot_point_lon, albedo, albedo_error_min, albedo_error_max, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, mass_detection_type, radius_detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff, star_detected_disc, star_magnetic_field
11 Uma b,3.72,0.82,0.82,,,,651.9,7.1,7.1,1.56,0.07,0.07,0.7,0.07,0.07,0.049367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2008,2010-11-26,6.24,8.9,8.9,53469.3,5.0,5.0,Controversial,,,,,11 Uma,137.0958333,66.8733333,5.16,,,,,31.6,-0.245,1.81,36.3,K5III,,4090.0,,
14 Her c,2.1,,,,,,6906.0,70.0,70.0,6.9,,,0.0,,,0.381215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2006-09-06,218.0,,,9100.0,,,Controversial,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311.0,,
19b1-02162 b,,,,1.97,,,0.59862739,,,,,,,,,,,,,2454317.7883529,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-10-11,,,,,,,Controversial,,,,,19b1-02162,293.0112,36.4848,17.0,,,,,2188.0,,0.95,1.12,G8,,5500.0,,
1SWASPJ115718.66+261906.1 b,,,,1.55,,,1.226804,0.000128,0.000128,,,,,,,,,,,3128.1643,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-11-19,,,,,,,Controversial,,,,,1SWASPJ115718.66+261906.1,179.3291667,26.3183333,11.12,,10.22,10.1,10.06,,,,1.32,,,,,
1SWASPJ130322.00+350525.4 b,,,,1.06,,,2.674207,0.000203,0.000203,,,,,,,,,,,3127.3608,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-11-19,,,,,,,Controversial,,,,,1SWASPJ130322.00+350525.4,195.8416667,35.0902778,10.89,,9.5,9.22,9.12,,,,1.12,,,,,
1SWASPJ152131.01+213521.3 b,,,,1.62,,,1.338018,4.1e-05,4.1e-05,,,,,,,,,,,3127.7908,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-11-19,,,,,,,Controversial,,,,,1SWASPJ152131.01+213521.3,230.3791667,21.5891667,12.19,,11.53,11.29,10.83,,,,1.19,,,,,
1SWASPJ160242.43+290850.1 b,,,,1.53,,,1.304693,1.4e-05,1.4e-05,,,,,,,,,,,3127.2471,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-11-19,,,,,,,Controversial,,,,,1SWASPJ160242.43+290850.1,240.675,29.1472222,12.42,,11.32,10.94,10.43,,,,0.91,,,,,
1SWASPJ161732.90+242119.0 b,,,,0.76,,,1.453738,3e-05,3e-05,,,,,,,,,,,3127.6799,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-11-19,,,,,,,Controversial,,,,,1SWASPJ161732.90+242119.0,244.3875,24.3552778,11.96,,9.85,9.47,9.35,,,,0.77,,,,,
AB Aur b,20.0,15.0,17.0,,,,,,,102.0,,,,,,0.708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2008,2011-02-12,,,,,,,Controversial,,,,,AB Aur,73.9416667,30.5511111,7.06,,,,,144.0,,2.4,,A0V,2.0,,,
Aldebaran b,9.5,,,,,,629.9,,,2.0,,,0.18,0.07,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1998,2010-12-20,290.0,5.0,5.0,2447625.4,8.0,8.0,Controversial,,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.0,,2.5,,K5III,,,,
